iter	Passed	Remaining
634	1133	651
635	1134	649
636	1136	647
637	1138	645
638	1139	643
639	1141	641
640	1142	639
641	1146	639
642	1148	637
643	1150	635
644	1153	635
645	1155	633
646	1157	631
647	1160	630
648	1167	631
649	1168	629
650	1171	627
651	1173	626
652	1177	625
653	1179	623
654	1180	621
655	1182	620
656	1184	618
657	1185	616
658	1187	614
659	1189	612
660	1194	612
661	1196	610
662	1198	609
663	1200	607
664	1202	605
665	1204	603
666	1207	602
667	1208	600
668	1210	598
669	1211	596
670	1213	595
671	1215	593
672	1218	591
673	1224	592
674	1226	590
675	1227	588
676	1229	586
677	1231	584
678	1232	582
679	1234	581
680	1239	580
681	1241	578
682	1243	577
683	1245	575
684	1246	573
685	1248	571
686	1250	569
687	1251	567
688	1254	566
689	1256	564
690	1257	562
691	1259	560
692	1260	558
693	1262	556
694	1264	555
695	1266	553
696	1271	552
697	1272	550
698	1274	548
699	1276	547
700	1278	545
701	1280	543
702	1283	542
703	1286	540
704	1287	538
705	1290	537
706	1291	535
707	1293	533
708	1294	531
709	1295	529
710	1297	527
711	1300	526
712	1301	524
713	1303	521
714	1304	519
715	1305	517
716	1307	515
717	1308	513
718	1309	511
719	1310	509
720	1312	507
721	1314	506
722	1317	504
723	1318	502
724	1319	500
725	1320	498
726	1322	496
727	1324	494
728	1325	492
729	1328	491
730	1330	489
731	1331	487
732	1332	485
733	1333	483
734	1335	481
735	1336	479
736	1342	478
737	1346	477
738	1347	475
739	1348	473
740	1349	471
741	1351	469
742	1352	467
743	1353	465
744	1355	463
745	1356	461
746	1360	460
747	1362	459
748	1364	457
749	1365	455
750	1367	453
751	1369	451
752	1371	449
753	1372	447
754	1374	445
755	1375	444
756	1377	442
757	1378	440
758	1379	438
759	1380	435
760	1381	433
761	1382	431
762	1383	429
763	1384	427
764	1387	426
765	1389	424
766	1390	422
767	1391	420
768	1392	418
769	1393	416
770	1394	414
771	1395	412
772	1396	410
773	1397	408
774	1398	406
775	1399	404
776	1400	402
777	1402	400
778	1404	398
779	1405	396
780	1406	394
781	1407	392
782	1408	390
783	1408	388
784	1409	386
785	1410	384
786	1412	382
787	1413	380
788	1414	378
789	1415	376
790	1418	374
791	1419	372
792	1420	370
793	1421	368
794	1422	366
795	1424	365
796	1425	363
797	1427	361
798	1428	359
799	1429	357
800	1433	356
801	1435	354
802	1436	352
803	1437	350
804	1438	348
805	1441	347
806	1443	345
807	1444	343
808	1446	341
809	1447	339
810	1449	337
811	1450	335
812	1451	333
813	1452	331
814	1453	329
815	1454	327
816	1455	326
817	1456	324
818	1457	322
819	1460	320
820	1462	318
821	1463	316
822	1464	314
823	1465	312
824	1466	311
825	1467	309
826	1468	307
827	1469	305
828	1471	303
829	1472	301
830	1473	299
831	1475	297
832	1476	296
833	1477	294
834	1478	292
835	1479	290
836	1480	288
837	1481	286
838	1482	284
839	1483	282
840	1484	280
841	1485	278
842	1486	276
843	1487	274
844	1488	273
845	1491	271
846	1492	269
847	1494	267
848	1495	265
849	1496	264
850	1498	262
851	1499	260
852	1500	258
853	1502	256
854	1505	255
855	1506	253
